"zona","provincia","maxabs","minabs","brecha_sc","count.sc","municipio","provincianombre"
"46200","46",13.3,12.4,0.9,2,"Pobla del Duc, la","Valencia/Valéncia"
"46042","46",14,13.1,0.9,2,"Aielo de Malferit","Valencia/Valéncia"
"06022","06",14.3,13.4,0.9,2,"Burguillos del Cerro","Badajoz"
"45110","45",16.6,15.7,0.9,2,"Navalcán","Toledo"
"16175","16",17.5,16.6,0.9,4,"Quintanar del Rey","Cuenca"
"16251","16",20,19.1,0.9,2,"Villanueva de la Jara","Cuenca"
"10126","10",20.4,19.5,0.9,2,"Montánchez","Cáceres"
"45158","45",20.5,19.6,0.9,2,"Santa Olalla","Toledo"
"32076","32",24.2,23.3,0.9,2,"San Cristovo de Cea","Ourense"
"31067","31",24.5,23.6,0.9,2,"Carcastillo","Navarra"
"33001","33",24.6,23.7,0.9,2,"Allande","Asturias"
"31153","31",25.4,24.5,0.9,2,"Lesaka","Navarra"
"38013","38",26.7,25.8,0.9,2,"Frontera","Santa Cruz de Tenerife"
"31122","31",27.2,26.3,0.9,4,"Huarte/Uharte","Navarra"
"41025","41",29.8,28.9,0.9,2,"Carrión de los Céspedes","Sevilla"
"12136","12",11.3,10.3,1,2,"Vilavella, la","Castellón/Castelló"
"46150","46",16.5,15.5,1,3,"Llutxent","Valencia/Valéncia"
"12016","12",17.8,16.8,1,2,"Artana","Castellón/Castelló"
"46157","46",18,17,1,2,"Llosa de Ranes, la","Valencia/Valéncia"
"39032","39",19.9,18.9,1,2,"Hermandad de Campoo de Suso","Cantabria"
"16198","16",20.1,19.1,1,2,"Sisante","Cuenca"
"44076","44",21,20,1,2,"Cella","Teruel"
"06115","06",23.8,22.8,1,2,"Roca de la Sierra, La","Badajoz"
"27011","27",24.7,23.7,1,3,"Castroverde","Lugo"
"10110","10",25.6,24.6,1,2,"Losar de la Vera","Cáceres"
"18036","18",37.8,36.8,1,2,"Cájar","Granada"
"23082","23",14.6,13.5,1.1,2,"Siles","Jaén"
"45082","45",14.7,13.6,1.1,2,"Lagartera","Toledo"
"14001","14",14.8,13.7,1.1,3,"Adamuz","Córdoba"
"23090","23",14.8,13.7,1.1,2,"Torres","Jaén"
"07035","07",15.6,14.5,1.1,2,"Maria de la Salut","Balears, Illes"
"32051","32",16.4,15.3,1.1,2,"Muíños","Ourense"
"41072","41",21.1,20,1.1,3,"Pedrera","Sevilla"
"48012","48",23.3,22.2,1.1,2,"Bakio","Bizkaia"
"26105","26",23.7,22.6,1.1,2,"Navarrete","Rioja, La"
"26046","26",23.8,22.7,1.1,2,"Cenicero","Rioja, La"
"33054","33",25.9,24.8,1.1,2,"Regueras, Las","Asturias"
"50118","50",27.4,26.3,1.1,2,"Gallur","Zaragoza"
"08227","08",30.2,29.1,1.1,2,"Sant Martí Sarroca","Barcelona"
"17145","17",37.4,36.3,1.1,2,"Ribes de Freser","Girona"
"13089","13",13.3,12.1,1.2,3,"Villahermosa","Ciudad Real"
"23046","23",15.3,14.1,1.2,2,"Ibros","Jaén"
"27055","27",15.8,14.6,1.2,2,"Samos","Lugo"
"27002","27",16.8,15.6,1.2,2,"Alfoz","Lugo"
"10020","10",19.5,18.3,1.2,2,"Almoharín","Cáceres"
"07065","07",19.8,18.6,1.2,2,"Vilafranca de Bonany","Balears, Illes"
"06120","06",22.3,21.1,1.2,3,"Santa Amalia","Badajoz"
"29093","29",22.7,21.5,1.2,2,"Valle de Abdalajís","Málaga"
"25204","25",24.3,23.1,1.2,2,"Seròs","Lleida"
"10113","10",24.9,23.7,1.2,2,"Madroñera","Cáceres"
"17027","17",31.4,30.2,1.2,2,"Breda","Girona"
"33007","33",31.4,30.2,1.2,2,"Boal","Asturias"
"26117","26",31.5,30.3,1.2,2,"Pradejón","Rioja, La"
"28164","28",31.5,30.3,1.2,2,"Valdetorres de Jarama","Madrid"
"23019","23",10.8,9.5,1.3,2,"Campillo de Arenas","Jaén"
"23051","23",11.4,10.1,1.3,2,"Jamilena","Jaén"
"45187","45",13.8,12.5,1.3,4,"Villafranca de los Caballeros","Toledo"
"14016","14",14.1,12.8,1.3,2,"Cardeña","Córdoba"
"45177","45",16.8,15.5,1.3,2,"Urda","Toledo"
"36047","36",17.8,16.5,1.3,3,"Rodeiro","Pontevedra"
"36001","36",18.7,17.4,1.3,3,"Arbo","Pontevedra"
"23065","23",19.8,18.5,1.3,2,"Orcera","Jaén"
"21069","21",20.2,18.9,1.3,2,"Santa Olalla del Cala","Huelva"
"18050","18",20.5,19.2,1.3,2,"Cogollos de la Vega","Granada"
