provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona,show
Córdoba,14,37.7,14.2,23.5,7,Fuente Palmera,m14030
Girona,17,61.2,37.7,23.5,14,Lloret de Mar,m17095
Girona,17,57.9,34.5,23.4,4,Maçanet de la Selva,m17103
Murcia,30,53.6,30.3,23.3,26,Alcantarilla,m30005
Málaga,29,61.2,37.9,23.3,38,Fuengirola,m29054
Madrid,28,48.8,25.6,23.2,132,Móstoles,m28092
"Palmas, Las",35,50.8,27.6,23.2,67,Telde,m35026
Zamora,49,53.8,30.6,23.2,15,Benavente,m49021
Barcelona,8,58.9,35.7,23.2,70,Cornellà de Llobregat,m8073
Málaga,29,59.4,36.2,23.2,10,Nerja,m29075
Almería,4,67.2,44,23.2,49,"Ejido, El",m4902
Alicante,3,42.6,19.5,23.1,9,Castalla,m3053
Madrid,28,45.8,22.7,23.1,44,Majadahonda,m28080
Murcia,30,50,26.9,23.1,9,"Alcázares, Los",m30902
Castellón/Castelló,12,42.3,19.3,23,24,Borriana/Burriana,m12032
Asturias,33,51.4,28.4,23,70,Avilés,m33004
Guadalajara,19,44.4,21.5,22.9,59,Guadalajara,m19130
Madrid,28,47.2,24.3,22.9,118,Fuenlabrada,m28058
Barcelona,8,58.4,35.5,22.9,28,Gavà,m8089
Madrid,28,42.3,19.5,22.8,54,Coslada,m28049
Asturias,33,53.7,30.9,22.8,38,Mieres,m33037
Barcelona,8,56.8,34,22.8,26,Castelldefels,m8056
Barcelona,8,58.4,35.6,22.8,75,Mataró,m8121
"Balears, Illes",7,66.1,43.5,22.6,28,Eivissa,m7026
Alicante,3,44.2,21.7,22.5,5,Monforte del Cid,m3088
Huesca,22,52.2,29.7,22.5,34,Huesca,m22125
Barcelona,8,59.4,36.9,22.5,50,Sant Boi de Llobregat,m8200
Alicante,3,45.2,22.8,22.4,5,Redován,m3111
Alicante,3,51.8,29.4,22.4,14,"Campello, el",m3050
Valencia/Valéncia,46,42.9,20.6,22.3,21,Manises,m46159
Ciudad Real,13,48.6,26.3,22.3,53,Ciudad Real,m13034
Madrid,28,49.7,27.4,22.3,62,Parla,m28106
Cáceres,10,51.2,28.9,22.3,32,Plasencia,m10148
Alicante,3,47.6,25.4,22.2,14,Altea,m3018
Murcia,30,49.2,27,22.2,57,Molina de Segura,m30027
Salamanca,37,49,26.9,22.1,121,Salamanca,m37274
"Balears, Illes",7,37.1,15.1,22,7,Santa Margalida,m7055
Alicante,3,49.3,27.3,22,34,San Vicente del Raspeig/Sant Vicent del Raspeig,m3122
Cádiz,11,52.1,30.1,22,11,Chipiona,m11016
Murcia,30,46,24.1,21.9,18,Alhama de Murcia,m30008
Gipuzkoa,20,46.2,24.3,21.9,142,Donostia-San Sebastián,m20069
Gipuzcoa,20,46.2,24.3,21.9,142,Donostia-San Sebastián,m20069
Cádiz,11,47.1,25.2,21.9,110,Cádiz,m11012
Girona,17,53.8,31.9,21.9,15,Salt,m17155
Valencia/Valéncia,46,40,18.2,21.8,27,Ontinyent,m46184
Pontevedra,36,49.4,27.6,21.8,11,Poio,m36041
Huelva,21,54.4,32.6,21.8,11,Cartaya,m21021
"Balears, Illes",7,61.8,40,21.8,16,Ciutadella de Menorca,m7015
Barcelona,8,54.5,32.8,21.7,9,Calella,m8035
Cádiz,11,41,19.4,21.6,13,Tarifa,m11035
Pontevedra,36,52.7,31.1,21.6,62,Pontevedra,m36038
Córdoba,14,43.4,21.9,21.5,18,Priego de Córdoba,m14055
"Balears, Illes",7,44.4,22.9,21.5,8,Santanyí,m7057
Girona,17,57.7,36.2,21.5,3,Sils,m17193
Valencia/Valéncia,46,45.9,24.5,21.4,26,Burjassot,m46078
Barcelona,8,53.6,32.2,21.4,23,Vic,m8298
Burgos,9,61.5,40.1,21.4,30,Miranda de Ebro,m9219
Huelva,21,49.8,28.5,21.3,12,Isla Cristina,m21042
Málaga,29,56.7,35.4,21.3,43,Torremolinos,m29901
Barcelona,8,58.7,37.4,21.3,14,Sant Andreu de la Barca,m8196
León,24,49.7,28.5,21.2,112,León,m24089
Barcelona,8,56.3,35.1,21.2,35,Granollers,m8096
Jaén,23,41,19.9,21.1,17,Alcalá la Real,m23002
Madrid,28,45.4,24.4,21,16,Villaviciosa de Odón,m28181
Huelva,21,53.7,32.7,21,14,Ayamonte,m21010
Barcelona,8,53.8,32.8,21,14,Castellar del Vallès,m8051
Badajoz,6,34,13.1,20.9,2,Montemolín,m6086
Burgos,9,46.4,25.5,20.9,149,Burgos,m9059
Santa Cruz de Tenerife,38,48.3,27.4,20.9,4,Breña Baja,m38009
Barcelona,8,56,35.1,20.9,8,Canovelles,m8041
Tarragona,43,57.2,36.3,20.9,16,Cambrils,m43038
Valencia/Valéncia,46,40.9,20.1,20.8,45,Gandia,m46131
Asturias,33,48.8,28,20.8,202,Gijón,m33024
Madrid,28,50.8,30,20.8,26,Arganda del Rey,m28014
Cádiz,11,52.3,31.5,20.8,6,Puerto Serrano,m11029
Girona,17,53.4,32.6,20.8,21,Olot,m17114
Santa Cruz de Tenerife,38,43.6,23,20.6,4,Tazacorte,m38045
Sevilla,41,50.6,30.1,20.5,9,Sanlúcar la Mayor,m41087
Santa Cruz de Tenerife,38,37,16.6,20.4,27,"Orotava, La",m38026
Madrid,28,42.8,22.4,20.4,25,Boadilla del Monte,m28022
Girona,17,55.2,34.8,20.4,4,Castelló d'Empúries,m17047
Cantabria,39,40,19.7,20.3,47,Torrelavega,m39087
Madrid,28,44.6,24.4,20.2,24,Colmenar Viejo,m28045
"Coruña, A",15,48.7,28.5,20.2,75,Santiago de Compostela,m15078
Asturias,33,54.1,33.9,20.2,36,Langreo,m33031
Barcelona,8,55.1,34.9,20.2,31,Mollet del Vallès,m8124
"Balears, Illes",7,55.2,35,20.2,12,Sant Antoni de Portmany,m7046
Barcelona,8,54.5,34.4,20.1,45,Viladecans,m8301
