provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
Barcelona,8,42.9,31.4,11.5,6,Viladecavalls,m8300,dontshow
"Las Palmas",35,43.1,31.6,11.5,4,Tinajo,m35029,dontshow
Toledo,45,45.7,34.2,11.5,11,Seseña,m45161,dontshow
Toledo,45,47.5,36,11.5,2,"Viso de San Juan, El",m45199,dontshow
Murcia,30,30.1,18.7,11.4,10,Beniel,m30010,dontshow
Granada,18,32.1,20.7,11.4,5,Alhama de Granada,m18013,dontshow
"Las Palmas",35,38.2,26.8,11.4,7,Tuineje,m35030,dontshow
León,24,40,28.6,11.4,7,Astorga,m24008,dontshow
Granada,18,41.5,30.1,11.4,3,Gójar,m18084,dontshow
Barcelona,8,47.7,36.3,11.4,6,Llinars del Vallès,m8106,dontshow
Barcelona,8,48.8,37.4,11.4,9,"Llagosta, La",m8105,dontshow
Cantabria,39,28,16.7,11.3,4,Campoo de Enmedio,m39027,dontshow
Cáceres,10,30.7,19.4,11.3,9,Coria,m10067,dontshow
Murcia,30,33.9,22.6,11.3,9,Calasparra,m30013,dontshow
Valencia,46,34.8,23.5,11.3,17,Moncada,m46171,dontshow
Córdoba,14,37.4,26.1,11.3,15,Cabra,m14013,dontshow
Alicante,3,39.7,28.4,11.3,7,Jijona/Xixona,m3083,dontshow
Asturias,33,40.5,29.2,11.3,3,Colunga,m33019,dontshow
"A Coruña",15,44.4,33.1,11.3,14,Boiro,m15011,dontshow
Pontevedra,36,46,34.7,11.3,10,Bueu,m36004,dontshow
Barcelona,8,47.8,36.5,11.3,8,Palau-solità i Plegamans,m8156,dontshow
Santa Cruz de Tenerife,38,27.1,15.9,11.2,6,San Sebastián de la Gomera,m38036,dontshow
Madrid,28,34.8,23.6,11.2,5,Valdemorillo,m28160,dontshow
"A Coruña",15,37.9,26.7,11.2,10,Noia,m15057,dontshow
Lleida,25,41.4,30.2,11.2,5,Cervera,m25072,dontshow
Gipuzkoa,20,42,30.8,11.2,11,Bergara,m20074,dontshow
Gipuzcoa,20,42,30.8,11.2,11,Bergara,m20074,dontshow
"Illes Balears,",7,44.4,33.2,11.2,5,Andratx,m7005,dontshow
Tarragona,43,45.6,34.4,11.2,10,Sant Carles de la Ràpita,m43136,dontshow
Cádiz,11,29,17.9,11.1,9,Medina-Sidonia,m11023,dontshow
Ourense,32,31,19.9,11.1,7,Xinzo de Limia,m32032,dontshow
Córdoba,14,35.5,24.4,11.1,8,Montoro,m14043,dontshow
Madrid,28,38.4,27.3,11.1,5,Brunete,m28026,dontshow
Huesca,22,39.2,28.1,11.1,11,Barbastro,m22048,dontshow
Sevilla,41,55.5,44.4,11.1,18,Camas,m41021,dontshow
Valencia,46,28.3,17.3,11,2,Miramar,m46168,dontshow
"A Coruña",15,35.1,24.1,11,9,Porto do Son,m15071,dontshow
Madrid,28,35.7,24.7,11,5,Villarejo de Salvanés,m28180,dontshow
Ciudad Real,13,41.5,30.5,11,21,Valdepeñas,m13087,dontshow
Bizkaia,48,42.8,31.8,11,8,Arrigorriaga,m48011,dontshow
Lleida,25,44.5,33.5,11,11,Tàrrega,m25217,dontshow
Santa Cruz de Tenerife,38,44.5,33.5,11,13,"Llanos de Aridane, Los",m38024,dontshow
Granada,18,46.1,35.1,11,8,Churriana de la Vega,m18062,dontshow
Castellón,12,24.5,13.6,10.9,2,Chilches/Xilxes,m12053,dontshow
"A Coruña",15,34.6,23.7,10.9,6,Arzúa,m15006,dontshow
Asturias,33,34.7,23.8,10.9,10,Llanes,m33036,dontshow
Pontevedra,36,34.8,23.9,10.9,3,Agolada,m36020,dontshow
Ciudad Real,13,35.4,24.5,10.9,7,Bolaños de Calatrava,m13023,dontshow
"Illes Balears,",7,39.3,28.4,10.9,11,Felanitx,m7022,dontshow
Barcelona,8,43,32.1,10.9,3,Capellades,m8044,dontshow
Bizkaia,48,43.4,32.5,10.9,7,Etxebarri,m48029,dontshow
Asturias,33,48.9,38,10.9,12,Cangas del Narcea,m33011,dontshow
Ourense,32,25.2,14.4,10.8,2,Xunqueira de Ambía,m32036,dontshow
Valencia,46,25.8,15,10.8,7,Albaida,m46006,dontshow
Alicante,3,28.4,17.6,10.8,6,Pego,m3102,dontshow
Cantabria,39,29.3,18.5,10.8,4,San Vicente de la Barquera,m39080,dontshow
Barcelona,8,35.6,24.8,10.8,3,Subirats,m8273,dontshow
Madrid,28,35.6,24.8,10.8,3,Serranillos del Valle,m28140,dontshow
Zamora,49,35.8,25,10.8,8,Toro,m49219,dontshow
Madrid,28,37.7,26.9,10.8,9,Algete,m28009,dontshow
Toledo,45,38.8,28,10.8,8,Sonseca,m45163,dontshow
Huesca,22,41.9,31.1,10.8,8,Jaca,m22130,dontshow
Asturias,33,43.4,32.6,10.8,13,Corvera de Asturias,m33020,dontshow
Sevilla,41,43.6,32.8,10.8,14,Tomares,m41093,dontshow
Girona,17,44.1,33.3,10.8,8,Ripoll,m17147,dontshow
Barcelona,8,47.7,36.9,10.8,2,Masquefa,m8119,dontshow
Lleida,25,48.8,38,10.8,6,Mollerussa,m25137,dontshow
Barcelona,8,52,41.2,10.8,8,Torelló,m8285,dontshow
Valencia,46,29.7,19,10.7,7,Massanassa,m46165,dontshow
Alicante,3,32.8,22.1,10.7,2,Xaló,m3081,dontshow
Cáceres,10,33.6,22.9,10.7,7,Trujillo,m10195,dontshow
Murcia,30,35.3,24.6,10.7,12,Puerto Lumbreras,m30033,dontshow
"La Rioja",26,42.1,31.4,10.7,8,Haro,m26071,dontshow
Bizkaia,48,44.7,34,10.7,10,Mungia,m48069,dontshow
"A Coruña",15,47,36.3,10.7,11,Fene,m15035,dontshow
Valencia,46,27.3,16.7,10.6,7,Godella,m46135,dontshow
"Las Palmas",35,29.8,19.2,10.6,12,Santa María de Guía de Gran Canaria,m35023,dontshow
Sevilla,41,30.5,19.9,10.6,3,Castilblanco de los Arroyos,m41027,dontshow
Córdoba,14,40.6,30,10.6,13,Peñarroya-Pueblonuevo,m14052,dontshow
Valencia,46,41.9,31.3,10.6,13,Requena,m46213,dontshow
Lleida,25,48.2,37.6,10.6,7,"Seu d'Urgell, La",m25203,dontshow
Sevilla,41,51.5,40.9,10.6,3,Alcolea del Río,m41006,dontshow
Tarragona,43,52.4,41.8,10.6,8,Torredembarra,m43153,dontshow
Barcelona,8,54.4,43.8,10.6,4,Torrelles de Llobregat,m8289,dontshow
Girona,17,43.1,32.6,10.5,3,Celrà,m17049,dontshow
Pontevedra,36,28.7,18.3,10.4,4,Forcarei,m36018,dontshow
Córdoba,14,29.7,19.3,10.4,2,Almedinilla,m14004,dontshow
Valencia,46,31,20.6,10.4,14,Paiporta,m46186,dontshow
Jaén,23,32.4,22,10.4,13,Baeza,m23009,dontshow
Córdoba,14,32.6,22.2,10.4,6,Villa del Río,m14066,dontshow
Huelva,21,33.5,23.1,10.4,2,Manzanilla,m21047,dontshow
Pontevedra,36,35,24.6,10.4,7,Vilanova de Arousa,m36061,dontshow
"A Coruña",15,37.3,26.9,10.4,6,Ponteceso,m15068,dontshow
Gipuzkoa,20,37.7,27.3,10.4,8,Ordizia,m20076,dontshow
Gipuzcoa,20,37.7,27.3,10.4,8,Ordizia,m20076,dontshow
Cantabria,39,38.9,28.5,10.4,7,Santa Cruz de Bezana,m39073,dontshow
Tarragona,43,39.2,28.8,10.4,2,Camarles,m43903,dontshow
Gipuzkoa,20,43.8,33.4,10.4,11,Andoain,m20009,dontshow
Gipuzcoa,20,43.8,33.4,10.4,11,Andoain,m20009,dontshow
Huelva,21,45.3,34.9,10.4,7,Aracena,m21007,dontshow
Barcelona,8,53.1,42.7,10.4,7,Tordera,m8284,dontshow
Valencia,46,23.5,13.2,10.3,9,"Alcúdia, l'",m46019,dontshow
"Las Palmas",35,32.3,22,10.3,10,Teror,m35027,dontshow
Pontevedra,36,34.4,24.1,10.3,10,Mos,m36033,dontshow
Asturias,33,34.8,24.5,10.3,3,Candamo,m33010,dontshow
"A Coruña",15,35.4,25.1,10.3,4,Ares,m15004,dontshow
Granada,18,37.3,27,10.3,2,Cortes de Baza,m18053,dontshow
Jaén,23,37.4,27.1,10.3,7,Villanueva del Arzobispo,m23097,dontshow
Barcelona,8,39.2,28.9,10.3,8,Sant Sadurní d'Anoia,m8240,dontshow
Asturias,33,39.5,29.2,10.3,5,Parres,m33045,dontshow
Pontevedra,36,43.6,33.3,10.3,26,Vilagarcía de Arousa,m36060,dontshow
Barcelona,8,44.6,34.3,10.3,2,"Masies de Voltregà, Les",m8117,dontshow
Barcelona,8,45.6,35.3,10.3,7,Sallent,m8191,dontshow
Huelva,21,30.6,20.4,10.2,4,Alosno,m21006,dontshow
Valladolid,47,36,25.8,10.2,2,Mojados,m47090,dontshow
Cádiz,11,36.7,26.5,10.2,10,Villamartín,m11041,dontshow
Asturias,33,42.2,32,10.2,10,Carreño,m33014,dontshow
Sevilla,41,49.3,39.1,10.2,10,Bormujos,m41017,dontshow
Barcelona,8,51.6,41.4,10.2,9,Piera,m8161,dontshow
Cáceres,10,24.6,14.5,10.1,4,Malpartida de Cáceres,m10115,dontshow
Murcia,30,29.3,19.2,10.1,5,Librilla,m30023,dontshow
Santa Cruz de Tenerife,38,32.2,22.1,10.1,5,"Matanza de Acentejo, La",m38025,dontshow
Pontevedra,36,34.5,24.4,10.1,5,Ponte Caldelas,m36043,dontshow
"A Coruña",15,35.1,25,10.1,5,"Pino, O",m15066,dontshow
Navarra,31,38.8,28.7,10.1,11,Burlada/Burlata,m31060,dontshow
Toledo,45,38.8,28.7,10.1,3,Casarrubios del Monte,m45041,dontshow
Bizkaia,48,43.7,33.6,10.1,21,Leioa,m48054,dontshow
Sevilla,41,48,37.9,10.1,5,Benacazón,m41015,dontshow
"Illes Balears,",7,27.1,17.1,10,2,Sant Joan,m7049,dontshow
Navarra,31,29.1,19.1,10,2,Caparroso,m31065,dontshow
León,24,31.4,21.4,10,2,Benavides,m24015,dontshow
Alicante,3,37.5,27.5,10,11,Sant Joan d'Alacant,m3119,dontshow
Huelva,21,38,28,10,2,Jabugo,m21043,dontshow
Madrid,28,39.1,29.1,10,4,San Martín de Valdeiglesias,m28133,dontshow
"Illes Balears,",7,39.4,29.4,10,9,Sóller,m7061,dontshow
Granada,18,40,30,10,10,Santa Fe,m18175,dontshow
Madrid,28,40,30,10,8,"Escorial, El",m28054,dontshow
Almería,4,28.2,18.3,9.9,11,Huércal-Overa,m4053,dontshow
Pontevedra,36,28.4,18.5,9.9,5,Meaño,m36027,dontshow
Alicante,3,31.3,21.4,9.9,11,Callosa de Segura,m3049,dontshow
"A Coruña",15,32.6,22.7,9.9,8,Ortigueira,m15061,dontshow
Pontevedra,36,34,24.1,9.9,8,Tomiño,m36054,dontshow
Sevilla,41,34.7,24.8,9.9,6,Paradas,m41071,dontshow
Lleida,25,39.1,29.2,9.9,3,Vielha e Mijaran,m25243,dontshow
Lugo,27,42.6,32.7,9.9,3,Abadín,m27001,dontshow
Tarragona,43,51.5,41.6,9.9,2,Creixell,m43050,dontshow
León,24,26.9,17.1,9.8,3,Camponaraya,m24034,dontshow
Bizkaia,48,27.1,17.3,9.8,5,Zalla,m48096,dontshow
Málaga,29,27.2,17.4,9.8,3,Arriate,m29020,dontshow
Castellón,12,28.1,18.3,9.8,3,Almenara,m12011,dontshow
Valencia,46,29.8,20,9.8,9,Benifaió,m46060,dontshow
Valencia,46,30.4,20.6,9.8,20,Xàtiva,m46145,dontshow
Sevilla,41,32.8,23,9.8,7,Guillena,m41049,dontshow
Navarra,31,33.4,23.6,9.8,3,Sangüesa/Zangoza,m31216,dontshow
Sevilla,41,33.8,24,9.8,12,"Viso del Alcor, El",m41102,dontshow
Valladolid,47,34.2,24.4,9.8,6,Tordesillas,m47165,dontshow
Burgos,9,34.3,24.5,9.8,5,Medina de Pomar,m9209,dontshow
Gipuzkoa,20,35.2,25.4,9.8,8,Azkoitia,m20017,dontshow
Gipuzcoa,20,35.2,25.4,9.8,8,Azkoitia,m20017,dontshow
Madrid,28,36.4,26.6,9.8,6,Velilla de San Antonio,m28167,dontshow
Bizkaia,48,36.9,27.1,9.8,5,Abadiño,m48001,dontshow
"Illes Balears,",7,49.4,39.6,9.8,6,Capdepera,m7014,dontshow
Girona,17,54.1,44.3,9.8,5,Calonge,m17034,dontshow
Málaga,29,26.9,17.2,9.7,3,Periana,m29079,dontshow
Madrid,28,30.6,20.9,9.7,2,Robledo de Chavela,m28125,dontshow
Alicante,3,33.8,24.1,9.7,7,Sax,m3123,dontshow
Santa Cruz de Tenerife,38,34.5,24.8,9.7,6,"Sauzal, El",m38041,dontshow
Valencia,46,35.3,25.6,9.7,13,Bétera,m46070,dontshow
Palencia,34,37.8,28.1,9.7,5,Venta de Baños,m34023,dontshow
Santa Cruz de Tenerife,38,40.5,30.8,9.7,15,Tacoronte,m38043,dontshow
Asturias,33,40.8,31.1,9.7,12,Lena,m33033,dontshow
Madrid,28,43.1,33.4,9.7,3,"Molar, El",m28086,dontshow
Barcelona,8,44.7,35,9.7,4,Artés,m8010,dontshow
Guadalajara,19,46.7,37,9.7,6,"Casar, El",m19071,dontshow
Jaén,23,16.6,7,9.6,2,Montizón,m23062,dontshow
"A Coruña",15,28.2,18.6,9.6,6,Mazaricos,m15045,dontshow
Castellón,12,28.3,18.7,9.6,2,Cabanes,m12033,dontshow
Valencia,46,30.2,20.6,9.6,7,Picanya,m46193,dontshow
Lugo,27,30.5,20.9,9.6,5,Outeiro de Rei,m27039,dontshow
Sevilla,41,31,21.4,9.6,5,Constantina,m41033,dontshow
Sevilla,41,31.7,22.1,9.6,8,Pilas,m41075,dontshow
Alicante,3,33.1,23.5,9.6,19,Ibi,m3079,dontshow
Barcelona,8,38.1,28.5,9.6,2,Seva,m8269,dontshow
Gipuzkoa,20,39.3,29.7,9.6,2,Zizurkil,m20028,dontshow
Gipuzcoa,20,39.3,29.7,9.6,2,Zizurkil,m20028,dontshow
Barcelona,8,40.8,31.2,9.6,4,Santa Maria de Palautordera,m8259,dontshow
Pontevedra,36,42.4,32.8,9.6,18,Cangas,m36008,dontshow
Barcelona,8,45.7,36.1,9.6,3,Balsareny,m8018,dontshow
Girona,17,48.3,38.7,9.6,2,Santa Cristina d'Aro,m17181,dontshow
Cantabria,39,27.2,17.7,9.5,6,Santa María de Cayón,m39074,dontshow
Castellón,12,32,22.5,9.5,8,"Alcora, l'",m12005,dontshow
Murcia,30,32.2,22.7,9.5,13,Santomera,m30901,dontshow
Castellón,12,38.2,28.7,9.5,14,Benicarló,m12027,dontshow
Segovia,40,40.7,31.2,9.5,4,"Espinar, El",m40076,dontshow
Bizkaia,48,41,31.5,9.5,20,Durango,m48027,dontshow
Granada,18,41.1,31.6,9.5,10,Albolote,m18003,dontshow
Salamanca,37,41.6,32.1,9.5,4,Villamayor,m37354,dontshow
"La Rioja",26,42,32.5,9.5,5,Lardero,m26084,dontshow
"Illes Balears,",7,43.8,34.3,9.5,18,Inca,m7027,dontshow
Bizkaia,48,44.9,35.4,9.5,7,Ondarroa,m48073,dontshow
Girona,17,53.5,44,9.5,11,Palafrugell,m17117,dontshow
Córdoba,14,27.5,18.1,9.4,8,Castro del Río,m14019,dontshow
Cáceres,10,33.8,24.4,9.4,3,Alcuéscar,m10010,dontshow
Tarragona,43,35,25.6,9.4,2,Sant Jaume d'Enveja,m43902,dontshow
Navarra,31,35.3,25.9,9.4,3,Castejón,m31070,dontshow
Córdoba,14,35.6,26.2,9.4,7,Rute,m14058,dontshow
Asturias,33,36,26.6,9.4,3,Coaña,m33018,dontshow
Sevilla,41,36,26.6,9.4,7,Tocina,m41092,dontshow
"Las Palmas",35,39.6,30.2,9.4,12,Santa Brígida,m35021,dontshow
Zaragoza,50,39.7,30.3,9.4,4,Alagón,m50008,dontshow
Barcelona,8,45.5,36.1,9.4,14,"Masnou, El",m8118,dontshow
Barcelona,8,46.8,37.4,9.4,8,Vallirana,m8295,dontshow
Pontevedra,36,29.7,20.4,9.3,8,Silleda,m36052,dontshow
Valencia,46,30.9,21.6,9.3,16,Carcaixent,m46083,dontshow
Tarragona,43,36.2,26.9,9.3,3,Flix,m43060,dontshow
"A Coruña",15,36.6,27.3,9.3,9,Rianxo,m15072,dontshow
Granada,18,36.7,27.4,9.3,6,Huéscar,m18098,dontshow
Sevilla,41,41.4,32.1,9.3,13,Arahal,m41011,dontshow
Barcelona,8,43.4,34.1,9.3,15,Vilassar de Mar,m8219,dontshow
Granada,18,45.2,35.9,9.3,9,Ogíjares,m18145,dontshow
Cantabria,39,26.5,17.3,9.2,2,Guriezo,m39030,dontshow
Ourense,32,28.8,19.6,9.2,2,Vilamartín de Valdeorras,m32088,dontshow
"A Coruña",15,29.6,20.4,9.2,5,Negreira,m15056,dontshow
"La Rioja",26,30,20.8,9.2,6,Nájera,m26102,dontshow
Murcia,30,30.8,21.6,9.2,7,Lorquí,m30025,dontshow
Valencia,46,32.5,23.3,9.2,4,San Antonio de Benagéber,m46903,dontshow
Valencia,46,33,23.8,9.2,9,Tavernes Blanques,m46237,dontshow
Sevilla,41,33.2,24,9.2,2,Pruna,m41076,dontshow
Córdoba,14,34.2,25,9.2,10,Aguilar de la Frontera,m14002,dontshow
Sevilla,41,34.4,25.2,9.2,4,Villanueva del Ariscal,m41098,dontshow
Madrid,28,34.8,25.6,9.2,2,Villaconejos,m28170,dontshow
Madrid,28,37,27.8,9.2,4,Torres de la Alameda,m28154,dontshow
"A Coruña",15,39.2,30,9.2,9,Betanzos,m15009,dontshow
Santa Cruz de Tenerife,38,43.4,34.2,9.2,12,Santa Cruz de la Palma,m38037,dontshow
Granada,18,44.1,34.9,9.2,3,Órgiva,m18147,dontshow
Barcelona,8,44.8,35.6,9.2,3,Teià,m8281,dontshow
Ourense,32,29.3,20.2,9.1,2,Ramirás,m32068,dontshow
"A Coruña",15,30,20.9,9.1,7,Melide,m15046,dontshow
Ourense,32,30.2,21.1,9.1,4,Celanova,m32024,dontshow
Valencia,46,31.3,22.2,9.1,13,Alboraya,m46013,dontshow
"A Coruña",15,31.4,22.3,9.1,4,Rois,m15074,dontshow
Santa Cruz de Tenerife,38,32.1,23,9.1,5,Villa de Mazo,m38053,dontshow
Huelva,21,32.6,23.5,9.1,6,"Palma del Condado, La",m21054,dontshow
Cádiz,11,37.3,28.2,9.1,6,Bornos,m11010,dontshow
Gipuzkoa,20,38.9,29.8,9.1,9,Azpeitia,m20018,dontshow
Gipuzcoa,20,38.9,29.8,9.1,9,Azpeitia,m20018,dontshow
Santa Cruz de Tenerife,38,39.5,30.4,9.1,15,Güímar,m38020,dontshow
Madrid,28,40.8,31.7,9.1,11,Mejorada del Campo,m28084,dontshow
Granada,18,43.7,34.6,9.1,7,Peligros,m18153,dontshow
Gipuzkoa,20,45.1,36,9.1,4,Lezo,m20053,dontshow
Gipuzcoa,20,45.1,36,9.1,4,Lezo,m20053,dontshow
Barcelona,8,46.1,37,9.1,11,Parets del Vallès,m8159,dontshow
Ciudad Real,13,28.9,19.9,9,7,Almodóvar del Campo,m13015,dontshow
Málaga,29,30.4,21.4,9,2,Casarabonela,m29040,dontshow
"A Coruña",15,30.7,21.7,9,4,Vedra,m15089,dontshow
Huelva,21,31.7,22.7,9,3,Bonares,m21014,dontshow
Pontevedra,36,31.9,22.9,9,2,Pontecesures,m36044,dontshow
Badajoz,6,32.3,23.3,9,4,San Vicente de Alcántara,m6123,dontshow
Almería,4,32.9,23.9,9,4,Garrucha,m4049,dontshow
Córdoba,14,33.3,24.3,9,11,Pozoblanco,m14054,dontshow
Cantabria,39,34.6,25.6,9,10,Reinosa,m39059,dontshow
Madrid,28,35.2,26.2,9,6,Villalbilla,m28172,dontshow
"A Coruña",15,37.8,28.8,9,5,Carral,m15021,dontshow
Granada,18,38.7,29.7,9,2,Moraleda de Zafayona,m18138,dontshow
Madrid,28,39.4,30.4,9,3,Fuente el Saz de Jarama,m28059,dontshow
Barcelona,8,43.1,34.1,9,12,Molins de Rei,m8123,dontshow
Granada,18,43.9,34.9,9,6,Huétor Vega,m18101,dontshow
Castellón,12,28.3,19.4,8.9,7,Segorbe,m12104,dontshow
Valencia,46,30.9,22,8.9,6,Sedaví,m46223,dontshow
Cáceres,10,31,22.1,8.9,5,Moraleja,m10128,dontshow
Santa Cruz de Tenerife,38,33.5,24.6,8.9,4,Garachico,m38015,dontshow
Cáceres,10,34.6,25.7,8.9,5,Valencia de Alcántara,m10203,dontshow
Bizkaia,48,36.9,28,8.9,12,Gernika-Lumo,m48046,dontshow
Teruel,44,37.7,28.8,8.9,6,Andorra,m44025,dontshow
Madrid,28,38.4,29.5,8.9,4,Morata de Tajuña,m28091,dontshow
Jaén,23,38.9,30,8.9,7,Cazorla,m23028,dontshow
Jaén,23,39.2,30.3,8.9,28,Úbeda,m23092,dontshow
Toledo,45,39.8,30.9,8.9,4,Ugena,m45176,dontshow
Bizkaia,48,40.6,31.7,8.9,7,Abanto y Ciérvana-Abanto Zierbena,m48002,dontshow
"A Coruña",15,40.9,32,8.9,3,Cariño,m15901,dontshow
Jaén,23,41.8,32.9,8.9,11,Torre del Campo,m23086,dontshow
Lleida,25,43.9,35,8.9,4,"Borges Blanques, Les",m25058,dontshow
"A Coruña",15,45.7,36.8,8.9,19,Culleredo,m15031,dontshow
Navarra,31,30.7,21.9,8.8,4,Cintruénigo,m31072,dontshow
Cantabria,39,31,22.2,8.8,3,Bárcena de Cicero,m39009,dontshow
León,24,31.9,23.1,8.8,2,Villarejo de Órbigo,m24223,dontshow
Cádiz,11,34.4,25.6,8.8,7,Olvera,m11024,dontshow
Jaén,23,35,26.2,8.8,8,Mancha Real,m23058,dontshow
Huelva,21,36.5,27.7,8.8,3,Calañas,m21017,dontshow
Madrid,28,38.1,29.3,8.8,8,Villanueva de la Cañada,m28176,dontshow
Asturias,33,39.9,31.1,8.8,8,Piloña,m33049,dontshow
Bizkaia,48,40,31.2,8.8,6,Ortuella,m48083,dontshow
Girona,17,40.9,32.1,8.8,3,Campdevànol,m17036,dontshow
Salamanca,37,41.9,33.1,8.8,13,Béjar,m37046,dontshow
Madrid,28,46.6,37.8,8.8,5,Colmenar de Oreja,m28043,dontshow
Alicante,3,26.8,18.1,8.7,6,Ondara,m3095,dontshow
Badajoz,6,29.1,20.4,8.7,10,Villafranca de los Barros,m6149,dontshow
Jaén,23,29.1,20.4,8.7,4,Villatorres,m23903,dontshow
Ciudad Real,13,29.2,20.5,8.7,4,Piedrabuena,m13063,dontshow
"A Coruña",15,30.8,22.1,8.7,5,Miño,m15048,dontshow
Navarra,31,35.5,26.8,8.7,2,Leitza,m31149,dontshow
Álava,1,36.8,28.1,8.7,7,Amurrio,m1002,dontshow
Girona,17,38,29.3,8.7,3,Tossa de Mar,m17202,dontshow
Valladolid,47,39.3,30.6,8.7,14,Medina del Campo,m47085,dontshow
Tarragona,43,41.9,33.2,8.7,2,Alcover,m43005,dontshow
Girona,17,50.5,41.8,8.7,4,Vilafant,m17221,dontshow
"Illes Balears,",7,52.1,43.4,8.7,6,Formentera,m7024,dontshow
Sevilla,41,52.5,43.8,8.7,5,Palomares del Río,m41070,dontshow
Ciudad Real,13,26.2,17.6,8.6,10,Campo de Criptana,m13028,dontshow
Córdoba,14,28,19.4,8.6,4,Benamejí,m14010,dontshow
Asturias,33,29.2,20.6,8.6,4,Salas,m33059,dontshow
Cantabria,39,29.3,20.7,8.6,3,Ribamontán al Mar,m39061,dontshow
Navarra,31,31,22.4,8.6,3,Cascante,m31068,dontshow
Jaén,23,31.2,22.6,8.6,11,Torredonjimeno,m23087,dontshow
Lugo,27,31.9,23.3,8.6,4,"Fonsagrada, A",m27018,dontshow
Navarra,31,32,23.4,8.6,3,Peralta/Azkoien,m31202,dontshow
Bizkaia,48,37.5,28.9,8.6,2,Plentzia,m48077,dontshow
Barcelona,8,40.4,31.8,8.6,4,Centelles,m8067,dontshow
Asturias,33,40.4,31.8,8.6,14,San Martín del Rey Aurelio,m33060,dontshow
Zaragoza,50,44.2,35.6,8.6,2,Ricla,m50225,dontshow
Asturias,33,44.3,35.7,8.6,8,Gozón,m33025,dontshow
Lugo,27,24,15.5,8.5,3,Carballedo,m27009,dontshow
Ciudad Real,13,25.9,17.4,8.5,4,Porzuna,m13065,dontshow
Navarra,31,30.9,22.4,8.5,7,Tafalla,m31227,dontshow
Córdoba,14,34.3,25.8,8.5,11,Villanueva de Córdoba,m14069,dontshow
Gipuzkoa,20,35.6,27.1,8.5,8,Oñati,m20059,dontshow
Gipuzcoa,20,35.6,27.1,8.5,8,Oñati,m20059,dontshow
Valladolid,47,36.2,27.7,8.5,2,Renedo de Esgueva,m47133,dontshow
Pontevedra,36,39.2,30.7,8.5,4,Vilaboa,m36058,dontshow
Barcelona,8,40.8,32.3,8.5,3,Dosrius,m8075,dontshow
Huesca,22,41.3,32.8,8.5,3,Tamarite de Litera,m22225,dontshow
Tarragona,43,41.5,33,8.5,3,Altafulla,m43012,dontshow
Girona,17,47.9,39.4,8.5,5,Puigcerdà,m17141,dontshow
Lugo,27,22.9,14.5,8.4,4,Cervo,m27013,dontshow
Valencia,46,24.9,16.5,8.4,4,Guadassuar,m46139,dontshow
Granada,18,26.2,17.8,8.4,4,Caniles,m18039,dontshow
Valencia,46,31.3,22.9,8.4,8,Alginet,m46031,dontshow
Lugo,27,33.3,24.9,8.4,4,Mondoñedo,m27030,dontshow
Madrid,28,35.3,26.9,8.4,6,San Agustín del Guadalix,m28129,dontshow
Santa Cruz de Tenerife,38,37,28.6,8.4,4,San Andrés y Sauces,m38033,dontshow
Sevilla,41,37.5,29.1,8.4,3,Salteras,m41085,dontshow
Gipuzkoa,20,37.6,29.2,8.4,13,Lasarte-Oria,m20902,dontshow
Gipuzcoa,20,37.6,29.2,8.4,13,Lasarte-Oria,m20902,dontshow
Sevilla,41,40.8,32.4,8.4,3,Aznalcázar,m41012,dontshow
Granada,18,46.7,38.3,8.4,14,Armilla,m18021,dontshow
Granada,18,47.9,39.5,8.4,10,"Zubia, La",m18193,dontshow
Barcelona,8,52.5,44.1,8.4,4,Sant Fost de Campsentelles,m8209,dontshow
Valencia,46,26.9,18.6,8.3,6,Alcàsser,m46015,dontshow
Navarra,31,29,20.7,8.3,2,Falces,m31104,dontshow
Tarragona,43,29.8,21.5,8.3,2,Gandesa,m43064,dontshow
Albacete,2,33.5,25.2,8.3,2,Yeste,m2086,dontshow
Bizkaia,48,35,26.7,8.3,2,Zaratamo,m48097,dontshow
Gipuzkoa,20,36.5,28.2,8.3,2,Aia,m20016,dontshow
Gipuzcoa,20,36.5,28.2,8.3,2,Aia,m20016,dontshow
Bizkaia,48,37.7,29.4,8.3,3,Markina-Xemein,m48060,dontshow
Lleida,25,40.1,31.8,8.3,4,Almacelles,m25019,dontshow
Valencia,46,24.9,16.7,8.2,5,Foios,m46126,dontshow
Toledo,45,33.1,24.9,8.2,5,"Puebla de Montalbán, La",m45136,dontshow
Santa Cruz de Tenerife,38,35.2,27,8.2,7,Tegueste,m38046,dontshow
Álava,1,35.5,27.3,8.2,3,Salvatierra/Agurain,m1051,dontshow
Ourense,32,36.8,28.6,8.2,4,Allariz,m32001,dontshow
Madrid,28,37.4,29.2,8.2,8,Guadarrama,m28068,dontshow
Granada,18,42.2,34,8.2,4,Alhendín,m18014,dontshow
Asturias,33,46.4,38.2,8.2,8,Grado,m33026,dontshow
Sevilla,41,26.2,18.1,8.1,5,"Coronil, El",m41036,dontshow
"Las Palmas",35,27.6,19.5,8.1,6,Valsequillo de Gran Canaria,m35031,dontshow
Navarra,31,28.8,20.7,8.1,2,Valtierra,m31249,dontshow
Murcia,30,29,20.9,8.1,9,Ceutí,m30018,dontshow
Jaén,23,30.7,22.6,8.1,9,Villacarrillo,m23095,dontshow
