provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Valencia/Valéncia,46,15.3,13.8,1.5,2,Chella,46107
Córdoba,14,18.2,16.7,1.5,2,Cañete de las Torres,14014
Lugo,27,18.4,16.9,1.5,2,Pol,27046
Castellón/Castelló,12,18.5,17,1.5,3,Altura,12012
Alicante,3,19.6,18.1,1.5,2,Rafal,3109
Valladolid,47,20.1,18.6,1.5,2,Portillo,47122
Almería,4,22.5,21,1.5,3,Fiñana,4045
Albacete,2,23,21.5,1.5,2,Alcaraz,2008
Cantabria,39,23.4,21.9,1.5,2,Castañeda,39019
Valencia/Valéncia,46,25,23.5,1.5,2,Daimús,46113
Toledo,45,27.4,25.9,1.5,3,Argés,45016
Badajoz,6,29.4,27.9,1.5,2,"Albuera, La",6005
León,24,29.6,28.1,1.5,2,San Justo de la Vega,24148
Segovia,40,14.7,13.1,1.6,2,Coca,40057
Badajoz,6,15.1,13.5,1.6,4,Quintana de la Serena,6109
Murcia,30,15.5,13.9,1.6,2,Campos del Río,30014
Sevilla,41,15.9,14.3,1.6,3,"Roda de Andalucía, La",41082
Valencia/Valéncia,46,16,14.4,1.6,2,"Font de la Figuera, la",46128
Toledo,45,18.2,16.6,1.6,2,Oropesa,45125
Pontevedra,36,18.6,17,1.6,3,"Illa de Arousa, A",36901
Córdoba,14,19,17.4,1.6,3,Moriles,14045
Cuenca,16,19.5,17.9,1.6,2,Villamayor de Santiago,16249
Badajoz,6,21.2,19.6,1.6,3,"Zarza, La",6162
Cáceres,10,21.2,19.6,1.6,3,Logrosán,10109
Cáceres,10,22.5,20.9,1.6,2,Aliseda,10018
Lugo,27,22.7,21.1,1.6,2,Quiroga,27050
"Rioja, La",26,24.4,22.8,1.6,2,Fuenmayor,26064
Cáceres,10,25.5,23.9,1.6,2,Villanueva de la Vera,10212
Córdoba,14,26.7,25.1,1.6,4,Belalcázar,14008
"Balears, Illes",7,27,25.4,1.6,3,Alaró,7001
Almería,4,29.8,28.2,1.6,2,Dalías,4038
Asturias,33,30.6,29,1.6,4,Soto del Barco,33069
Lleida,25,33.3,31.7,1.6,2,Alfarràs,25013
Bizkaia,48,35.1,33.5,1.6,2,Urduliz,48089
Barcelona,8,38.1,36.5,1.6,3,Puig-reig,8175
Córdoba,14,10.3,8.6,1.7,2,Añora,14006
