provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Sevilla,41,19.5,14.4,5.1,2,Almadén de la Plata,41009
Castellón/Castelló,12,20.4,15.3,5.1,3,Morella,12080
Lugo,27,22.9,17.8,5.1,3,Láncara,27026
Badajoz,6,23.2,18.1,5.1,3,Villanueva del Fresno,6154
Navarra,31,27.2,22.1,5.1,2,Ablitas,31006
Zaragoza,50,30,24.9,5.1,2,Mallén,50160
Madrid,28,31.3,26.2,5.1,4,Colmenarejo,28044
Sevilla,41,34,28.9,5.1,7,Brenes,41018
"Rioja, La",26,38,32.9,5.1,2,Albelda de Iregua,26005
Granada,18,42.1,37,5.1,3,Pulianas,18165
Córdoba,14,15.8,10.6,5.2,3,Espejo,14025
Ourense,32,18.8,13.6,5.2,3,Maside,32045
Badajoz,6,26.6,21.4,5.2,3,Granja de Torrehermosa,6059
Zaragoza,50,26.6,21.4,5.2,2,Daroca,50094
Toledo,45,26.9,21.7,5.2,2,Pantoja,45128
Cantabria,39,28.9,23.7,5.2,9,"Corrales de Buelna, Los",39025
Madrid,28,31.4,26.2,5.2,10,Torrelodones,28152
Segovia,40,32.3,27.1,5.2,2,San Cristóbal de Segovia,40906
Badajoz,6,32.9,27.7,5.2,7,Azuaga,6014
Tarragona,43,33.1,27.9,5.2,2,"Perelló, El",43104
Palencia,34,35.5,30.3,5.2,6,Guardo,34080
Huelva,21,35.7,30.5,5.2,4,Minas de Riotinto,21049
Zaragoza,50,35.8,30.6,5.2,3,Villanueva de Gállego,50288
"Coruña, A",15,37.2,32,5.2,6,Neda,15055
Valladolid,47,38.2,33,5.2,3,Cigales,47050
Barcelona,8,39.7,34.5,5.2,2,Sant Climent de Llobregat,8204
Lleida,25,40.8,35.6,5.2,4,Agramunt,25003
Lugo,27,18.9,13.6,5.3,2,"Nogais, As",27037
Jaén,23,19.4,14.1,5.3,4,Santisteban del Puerto,23079
Toledo,45,24.4,19.1,5.3,8,Mora,45106
Lugo,27,27.2,21.9,5.3,2,"Vicedo, O",27064
Toledo,45,27.8,22.5,5.3,4,Corral de Almaguer,45054
Navarra,31,28.4,23.1,5.3,2,Arguedas,31032
Teruel,44,29.8,24.5,5.3,3,Albalate del Arzobispo,44008
Ourense,32,32.7,27.4,5.3,5,"Rúa, A",32072
Sevilla,41,33.2,27.9,5.3,6,Montellano,41064
Valencia/Valéncia,46,34,28.7,5.3,3,Náquera,46178
Bizkaia,48,34.3,29,5.3,3,Sondika,48904
Tarragona,43,34.5,29.2,5.3,3,"Sénia, La",43044
Soria,42,35.3,30,5.3,3,Almazán,42020
Ávila,5,35.7,30.4,5.3,2,"Tiemblo, El",5241
Gipuzkoa,20,35.7,30.4,5.3,3,Lazkao,20049
Gipuzcoa,20,35.7,30.4,5.3,3,Lazkao,20049
Zaragoza,50,35.9,30.6,5.3,3,"Almunia de Doña Godina, La",50025
Salamanca,37,39.8,34.5,5.3,4,Villares de la Reina,37362
Ourense,32,21.8,16.4,5.4,2,Rubiá,32073
Toledo,45,24.4,19,5.4,8,Villacañas,45185
Jaén,23,25.8,20.4,5.4,2,Santo Tomé,23080
Gipuzkoa,20,28.1,22.7,5.4,4,Deba,20029
Gipuzcoa,20,28.1,22.7,5.4,4,Deba,20029
Girona,17,30,24.6,5.4,2,"Vall d'en Bas, La",17207
Toledo,45,30,24.6,5.4,8,Torrijos,45173
Jaén,23,32.1,26.7,5.4,5,Beas de Segura,23012
Pontevedra,36,33,27.6,5.4,5,Meis,36028
Granada,18,33.1,27.7,5.4,2,Gualchos,18093
Huelva,21,34.8,29.4,5.4,2,Villanueva de los Castillejos,21076
Granada,18,43.4,38,5.4,2,Jun,18111
Lleida,25,44.2,38.8,5.4,3,Alpicat,25023
Lugo,27,19.7,14.2,5.5,4,Palas de Rei,27040
Navarra,31,24,18.5,5.5,2,Ribaforada,31208
Sevilla,41,24,18.5,5.5,2,Alanís,41002
Zaragoza,50,26.3,20.8,5.5,2,Quinto,50222
Toledo,45,27.1,21.6,5.5,2,"Carpio de Tajo, El",45037
Bizkaia,48,30.2,24.7,5.5,5,Elorrio,48032
Jaén,23,32.2,26.7,5.5,7,Torreperogil,23088
Madrid,28,33.6,28.1,5.5,4,Collado Mediano,28046
Barcelona,8,44.1,38.6,5.5,2,Collbató,8069
Albacete,2,16.8,11.2,5.6,3,"Bonillo, El",2019
Valencia/Valéncia,46,18.1,12.5,5.6,2,Genovés,46132
Lugo,27,23.8,18.2,5.6,3,Sober,27059
Lugo,27,24.7,19.1,5.6,3,Becerreá,27006
Santa Cruz de Tenerife,38,25.7,20.1,5.6,2,Vallehermoso,38050
Valencia/Valéncia,46,26.6,21,5.6,3,"Alcúdia de Crespins, l'",46020
Ciudad Real,13,27.1,21.5,5.6,6,Herencia,13047
Málaga,29,27.2,21.6,5.6,2,"Burgo, El",29031
Lugo,27,28.3,22.7,5.6,4,Cospeito,27015
Toledo,45,30.9,25.3,5.6,2,Villaluenga de la Sagra,45188
Guadalajara,19,35.3,29.7,5.6,2,Chiloeches,19105
Cádiz,11,36.5,30.9,5.6,3,San José del Valle,11902
Asturias,33,36.6,31,5.6,3,Castropol,33017
Zamora,49,36.7,31.1,5.6,2,Morales del Vino,49127
Huesca,22,39,33.4,5.6,4,Binéfar,22061
Girona,17,42.9,37.3,5.6,3,Sarrià de Ter,17186
Barcelona,8,43.8,38.2,5.6,4,Lliçà de Vall,8108
Ávila,5,22.3,16.6,5.7,4,Candeleda,5047
Toledo,45,23.5,17.8,5.7,6,"Yébenes, Los",45200
Segovia,40,24,18.3,5.7,2,Nava de la Asunción,40138
Almería,4,27.2,21.5,5.7,2,Sorbas,4086
León,24,27.6,21.9,5.7,2,Torre del Bierzo,24170
Valencia/Valéncia,46,28.2,22.5,5.7,2,Faura,46122
"Coruña, A",15,28.4,22.7,5.7,5,Cabana de Bergantiños,15014
Navarra,31,28.5,22.8,5.7,9,Egüés,31086
Cáceres,10,28.6,22.9,5.7,6,Arroyo de la Luz,10021
Santa Cruz de Tenerife,38,28.6,22.9,5.7,4,"Silos, Los",38042
Zaragoza,50,33.1,27.4,5.7,2,Pedrola,50204
Navarra,31,34.4,28.7,5.7,3,Berrioplano,31902
Asturias,33,38.9,33.2,5.7,5,Ribadesella,33056
Barcelona,8,42.3,36.6,5.7,4,Taradell,8278
Barcelona,8,43.6,37.9,5.7,4,Alella,8003
Lugo,27,18.6,12.8,5.8,4,Monterroso,27032
"Palmas, Las",35,22.9,17.1,5.8,7,"Aldea de San Nicolás, La",35020
Granada,18,28.4,22.6,5.8,2,Arenas del Rey,18020
Ciudad Real,13,29.5,23.7,5.8,7,Villarrubia de los Ojos,13096
Bizkaia,48,31.4,25.6,5.8,3,Alonsotegi,48912
Bizkaia,48,36.6,30.8,5.8,4,Ugao-Miraballes,48065
Barcelona,8,36.9,31.1,5.8,4,Cardona,8047
Barcelona,8,39.4,33.6,5.8,5,Pallejà,8157
Girona,17,41.2,35.4,5.8,2,Sant Julià de Ramis,17169
Tarragona,43,41.2,35.4,5.8,2,Castellvell del Camp,43042
Toledo,45,22,16.1,5.9,2,Villasequilla,45197
Valencia/Valéncia,46,24.4,18.5,5.9,3,Sollana,46233
Jaén,23,25.2,19.3,5.9,5,Marmolejo,23059
Castellón/Castelló,12,26.3,20.4,5.9,3,Borriol,12031
Albacete,2,27,21.1,5.9,5,Tarazona de la Mancha,2073
Lugo,27,28.2,22.3,5.9,3,Xermade,27021
Cáceres,10,28.8,22.9,5.9,6,Miajadas,10121
Badajoz,6,29.8,23.9,5.9,4,Llerena,6074
Ciudad Real,13,30.7,24.8,5.9,16,Manzanares,13053
Gipuzkoa,20,33.3,27.4,5.9,7,Legazpi,20051
Gipuzcoa,20,33.3,27.4,5.9,7,Legazpi,20051
Jaén,23,35.3,29.4,5.9,4,Pozo Alcón,23070
Gipuzkoa,20,38.6,32.7,5.9,3,Soraluze/Placencia de las Armas,20065
Gipuzcoa,20,38.6,32.7,5.9,3,Soraluze/Placencia de las Armas,20065
Tarragona,43,39.4,33.5,5.9,2,"Morell, El",43095
Salamanca,37,41.1,35.2,5.9,4,Carbajosa de la Sagrada,37085
Bizkaia,48,41.7,35.8,5.9,3,Zaldibar,48095
Granada,18,16.6,10.6,6,4,Algarinejo,18012
Jaén,23,18.5,12.5,6,7,Porcuna,23069
Almería,4,18.7,12.7,6,2,Alhama de Almería,4011
Valencia/Valéncia,46,20.8,14.8,6,2,Rafelguaraf,46209
Jaén,23,21.4,15.4,6,4,Cambil,23018
Valencia/Valéncia,46,26,20,6,4,Almussafes,46035
Ciudad Real,13,27.6,21.6,6,6,Membrilla,13054
Teruel,44,28,22,6,4,Utrillas,44238
Ciudad Real,13,29.2,23.2,6,3,Torralba de Calatrava,13083
Valencia/Valéncia,46,29.3,23.3,6,6,Meliana,46166
Jaén,23,29.7,23.7,6,7,Jódar,23053
Santa Cruz de Tenerife,38,32,26,6,4,Breña Alta,38008
Soria,42,33.1,27.1,6,2,Ólvega,42134
Barcelona,8,45.2,39.2,6,5,Sentmenat,8267
Alicante,3,19.2,13.1,6.1,4,Benejúzar,3024
Málaga,29,21.4,15.3,6.1,2,Riogordo,29083
Pontevedra,36,23.9,17.8,6.1,3,Moraña,36032
Pontevedra,36,26.2,20.1,6.1,3,Crecente,36014
Girona,17,27.7,21.6,6.1,3,Sant Joan de les Abadesses,17167
Castellón/Castelló,12,27.8,21.7,6.1,2,Sant Joan de Moró,12902
Lugo,27,28.8,22.7,6.1,7,Chantada,27016
Ourense,32,29.2,23.1,6.1,2,Vilar de Barrio,32089
Córdoba,14,29.9,23.8,6.1,4,Fuente Obejuna,14029
Ciudad Real,13,30.3,24.2,6.1,9,Socuéllamos,13078
Almería,4,30.4,24.3,6.1,2,Turre,4093
Bizkaia,48,32.2,26.1,6.1,3,Urduña/Orduña,48074
Guadalajara,19,45.4,39.3,6.1,2,Pioz,19220
Barcelona,8,46.4,40.3,6.1,4,Montgat,8126
Cuenca,16,21.3,15.1,6.2,2,Minglanilla,16125
"Balears, Illes",7,22,15.8,6.2,2,Llubí,7030
Zamora,49,26.4,20.2,6.2,2,Villalpando,49250
Santa Cruz de Tenerife,38,27.3,21.1,6.2,2,Barlovento,38007
Madrid,28,30.3,24.1,6.2,3,Cobeña,28041
Ciudad Real,13,30.6,24.4,6.2,5,Pedro Muñoz,13061
"Balears, Illes",7,31.8,25.6,6.2,2,Esporles,7020
Cáceres,10,33.6,27.4,6.2,6,Jaraíz de la Vera,10104
"Balears, Illes",7,34.3,28.1,6.2,3,Ferreries,7023
Girona,17,34.8,28.6,6.2,2,Sant Gregori,17163
Valladolid,47,36,29.8,6.2,6,Tudela de Duero,47175
Toledo,45,37.1,30.9,6.2,2,Ontígola,45123
"Rioja, La",26,16.1,9.8,6.3,2,Cervera del Río Alhama,26047
Lugo,27,20.3,14,6.3,3,Begonte,27007
Lugo,27,23.3,17,6.3,3,Guntín,27023
Gipuzkoa,20,25.4,19.1,6.3,2,Getaria,20039
Gipuzcoa,20,25.4,19.1,6.3,2,Getaria,20039
Lugo,27,26.1,19.8,6.3,2,"Pontenova, A",27048
"Coruña, A",15,26.3,20,6.3,5,Muxía,15052
Navarra,31,26.6,20.3,6.3,2,Cizur,31076
Cantabria,39,27.2,20.9,6.3,5,Reocín,39060
Zaragoza,50,28,21.7,6.3,2,Belchite,50045
Pontevedra,36,29.6,23.3,6.3,4,"Neves, As",36034
Málaga,29,29.8,23.5,6.3,2,Casabermeja,29039
Bizkaia,48,34.5,28.2,6.3,6,Muskiz,48071
Madrid,28,35.4,29.1,6.3,4,Torrejón de la Calzada,28149
Barcelona,8,41.3,35,6.3,3,Begues,8020
Sevilla,41,50.3,44,6.3,4,Isla Mayor,41902
Granada,18,18.6,12.2,6.4,4,Lanjarón,18116
Badajoz,6,21.7,15.3,6.4,2,Segura de León,6124
Pontevedra,36,23.7,17.3,6.4,4,Ribadumia,36046
Valencia/Valéncia,46,25.7,19.3,6.4,2,"Font d'En Carròs, la",46127
Badajoz,6,26.7,20.3,6.4,2,Puebla de Sancho Pérez,6108
"Coruña, A",15,27.2,20.8,6.4,5,Coristanco,15029
Sevilla,41,27.4,21,6.4,6,Fuentes de Andalucía,41042
Cantabria,39,28,21.6,6.4,3,Marina de Cudeyo,39040
Alicante,3,28.2,21.8,6.4,4,Catral,3055
Sevilla,41,29,22.6,6.4,4,Villaverde del Río,41101
Almería,4,30.2,23.8,6.4,5,Vélez-Rubio,4099
Toledo,45,30.2,23.8,6.4,2,Cebolla,45046
Ávila,5,30.4,24,6.4,2,"Barraco, El",5022
Cantabria,39,34.5,28.1,6.4,3,Miengo,39044
Granada,18,34.7,28.3,6.4,7,Huétor Tájar,18100
Gipuzkoa,20,35.5,29.1,6.4,2,Zestoa,20027
Gipuzcoa,20,35.5,29.1,6.4,2,Zestoa,20027
Granada,18,36.3,29.9,6.4,3,Chauchina,18059
Ourense,32,55.6,49.2,6.4,2,Avión,32004
Madrid,28,23.2,16.7,6.5,2,Cenicientos,28037
Cuenca,16,23.8,17.3,6.5,4,San Clemente,16190
Badajoz,6,24.2,17.7,6.5,4,Puebla de la Calzada,6103
Jaén,23,26.2,19.7,6.5,11,"Carolina, La",23024
Toledo,45,26.8,20.3,6.5,7,Consuegra,45053
Toledo,45,27.4,20.9,6.5,4,Olías del Rey,45122
Girona,17,27.6,21.1,6.5,2,Vilobí d'Onyar,17233
"Coruña, A",15,28,21.5,6.5,5,Camariñas,15016
Guadalajara,19,32.9,26.4,6.5,5,Cabanillas del Campo,19058
Valladolid,47,36.1,29.6,6.5,4,Peñafiel,47114
Córdoba,14,18.2,11.6,6.6,4,"Viso, El",14074
Huelva,21,23.5,16.9,6.6,5,Palos de la Frontera,21055
"Coruña, A",15,25.6,19,6.6,2,Laxe,15040
Cantabria,39,25.7,19.1,6.6,4,Medio Cudeyo,39042
Almería,4,25.9,19.3,6.6,2,Antas,4016
Jaén,23,26.5,19.9,6.6,5,Arjona,23006
Badajoz,6,26.6,20,6.6,3,Valverde de Leganés,6143
Valladolid,47,28.4,21.8,6.6,4,Íscar,47075
Valencia/Valéncia,46,29.8,23.2,6.6,10,Benetússer,46054
"Rioja, La",26,30.3,23.7,6.6,3,Autol,26021
Jaén,23,30.9,24.3,6.6,6,Quesada,23073
Cantabria,39,31,24.4,6.6,3,Entrambasaguas,39028
Toledo,45,31.4,24.8,6.6,2,Novés,45118
Santa Cruz de Tenerife,38,31.9,25.3,6.6,3,Arafo,38004
Madrid,28,35.6,29,6.6,9,San Lorenzo de El Escorial,28131
Ciudad Real,13,37.1,30.5,6.6,4,Santa Cruz de Mudela,13077
"Coruña, A",15,37.6,31,6.6,7,Outes,15062
Tarragona,43,43.7,37.1,6.6,4,"Canonja, La",43907
Barcelona,8,47.1,40.5,6.6,4,Arenys de Munt,8007
Jaén,23,21.4,14.7,6.7,3,Bedmar y Garcíez,23902
"Coruña, A",15,24.3,17.6,6.7,6,Vimianzo,15092
Málaga,29,26.8,20.1,6.7,4,Villanueva del Trabuco,29097
Granada,18,27.2,20.5,6.7,3,Albuñol,18006
Valencia/Valéncia,46,27.2,20.5,6.7,4,Ayora,46044
Santa Cruz de Tenerife,38,27.7,21,6.7,2,"Tanque, El",38044
Navarra,31,29.8,23.1,6.7,5,Villava/Atarrabia,31258
Navarra,31,32,25.3,6.7,4,Corella,31077
León,24,36.8,30.1,6.7,3,Villafranca del Bierzo,24209
Zaragoza,50,37.1,30.4,6.7,4,Tauste,50252
Gipuzkoa,20,41.6,34.9,6.7,4,Urnieta,20072
Gipuzcoa,20,41.6,34.9,6.7,4,Urnieta,20072
Granada,18,43.3,36.6,6.7,6,Vegas del Genil,18911
Almería,4,18.2,11.4,6.8,2,Oria,4070
Toledo,45,19.1,12.3,6.8,2,Almorox,45013
Albacete,2,22.5,15.7,6.8,2,"Gineta, La",2035
Castellón/Castelló,12,22.5,15.7,6.8,5,Betxí,12021
Valencia/Valéncia,46,26.6,19.8,6.8,4,Turís,46248
Albacete,2,27.7,20.9,6.8,7,Caudete,2025
Alicante,3,29.2,22.4,6.8,4,"Pinós, el/Pinoso",3105
Navarra,31,29.5,22.7,6.8,8,Zizur Mayor/Zizur Nagusia,31907
Gipuzkoa,20,36.7,29.9,6.8,4,Aretxabaleta,20013
Gipuzcoa,20,36.7,29.9,6.8,4,Aretxabaleta,20013
Pontevedra,36,37,30.2,6.8,8,"Guarda, A",36023
Asturias,33,37.7,30.9,6.8,5,Nava,33040
Madrid,28,38.6,31.8,6.8,2,Ajalvir,28002
Barcelona,8,47.6,40.8,6.8,4,Tona,8283
Sevilla,41,47.8,41,6.8,3,Almensilla,41010
Girona,17,48.6,41.8,6.8,6,"Bisbal d'Empordà, La",17022
Albacete,2,20.9,14,6.9,4,Madrigueras,2045
"Palmas, Las",35,21.4,14.5,6.9,5,Agaete,35001
Valencia/Valéncia,46,24.4,17.5,6.9,3,Xeraco,46143
Jaén,23,25.5,18.6,6.9,5,Castillo de Locubín,23026
Alicante,3,27.1,20.2,6.9,6,Callosa d'En Sarrià,3048
Cádiz,11,29,22.1,6.9,4,Trebujena,11037
Teruel,44,29.5,22.6,6.9,3,Calanda,44051
Bizkaia,48,30.3,23.4,6.9,5,Güeñes,48045
Santa Cruz de Tenerife,38,30.6,23.7,6.9,2,Tijarafe,38047
Asturias,33,34.2,27.3,6.9,4,Tapia de Casariego,33070
Ciudad Real,13,35.6,28.7,6.9,8,Almadén,13011
Granada,18,46.8,39.9,6.9,5,Monachil,18134
Badajoz,6,23.4,16.4,7,6,Cabeza del Buey,6023
"Coruña, A",15,23.4,16.4,7,3,Dodro,15033
Córdoba,14,23.6,16.6,7,7,Hinojosa del Duque,14035
Valencia/Valéncia,46,28.6,21.6,7,3,Museros,46177
Huelva,21,29.2,22.2,7,5,Cortegana,21025
León,24,31.3,24.3,7,2,Vega de Espinareda,24196
Badajoz,6,32,25,7,4,Talavera la Real,6128
Valencia/Valéncia,46,33.9,26.9,7,2,Gilet,46134
Barcelona,8,34,27,7,2,Cercs,8268
Navarra,31,34.5,27.5,7,4,Noáin (Valle de Elorz)/Noain (Elortzibar),31088
Málaga,29,35.6,28.6,7,2,Colmenar,29043
Ciudad Real,13,35.8,28.8,7,13,"Solana, La",13079
Barcelona,8,48.6,41.6,7,5,Sant Joan de Vilatorrada,8218
Cáceres,10,21.3,14.2,7.1,4,Casar de Cáceres,10049
Jaén,23,24.7,17.6,7.1,4,Arjonilla,23007
Murcia,30,28.8,21.7,7.1,5,Blanca,30011
Ciudad Real,13,29.8,22.7,7.1,7,Malagón,13052
Madrid,28,30.6,23.5,7.1,4,Soto del Real,28144
Valencia/Valéncia,46,31.2,24.1,7.1,7,Alberic,46011
Toledo,45,32.9,25.8,7.1,8,Madridejos,45087
Bizkaia,48,33.2,26.1,7.1,3,Lemoa,48055
Granada,18,35.7,28.6,7.1,2,Puebla de Don Fadrique,18164
Tarragona,43,48.5,41.4,7.1,4,Roquetes,43133
Cantabria,39,21.3,14.1,7.2,3,Alfoz de Lloredo,39001
Lugo,27,22.6,15.4,7.2,3,Antas de Ulla,27003
Ciudad Real,13,26,18.8,7.2,3,Fuente el Fresno,13044
Jaén,23,28.7,21.5,7.2,4,"Villares, Los",23099
Alicante,3,29.2,22,7.2,6,Muro de Alcoy,3092
Ciudad Real,13,33.4,26.2,7.2,8,Miguelturra,13056
Jaén,23,33.4,26.2,7.2,5,Valdepeñas de Jaén,23093
Tarragona,43,34.9,27.7,7.2,4,Riudoms,43129
Tarragona,43,35.3,28.1,7.2,6,Deltebre,43901
Asturias,33,37.4,30.2,7.2,6,Pravia,33051
Huelva,21,44.9,37.7,7.2,6,Nerva,21052
Barcelona,8,45.9,38.7,7.2,6,Vilassar de Dalt,8214
Córdoba,14,17.4,10.1,7.3,2,Pedroche,14051
Granada,18,22.9,15.6,7.3,2,Valle del Zalabí,18907
Ourense,32,23.9,16.6,7.3,2,"Peroxa, A",32059
Córdoba,14,26.8,19.5,7.3,3,"Carpio, El",14018
"Balears, Illes",7,26.9,19.6,7.3,4,Lloseta,7029
Córdoba,14,27.3,20,7.3,6,"Rambla, La",14057
Granada,18,28.6,21.3,7.3,5,Dúrcal,18071
Granada,18,31.4,24.1,7.3,3,Moclín,18132
Huelva,21,32.8,25.5,7.3,4,Zalamea la Real,21078
Guadalajara,19,33.4,26.1,7.3,4,Marchamalo,19171
Toledo,45,35.3,28,7.3,3,Carranque,45038
"Coruña, A",15,36.4,29.1,7.3,5,Bergondo,15008
Gipuzkoa,20,37.2,29.9,7.3,6,Urretxu,20077
Gipuzcoa,20,37.2,29.9,7.3,6,Urretxu,20077
Madrid,28,38.1,30.8,7.3,3,Campo Real,28033
Pontevedra,36,38.3,31,7.3,15,Moaña,36029
Lleida,25,42.9,35.6,7.3,3,Bellpuig,25050
León,24,43.6,36.3,7.3,6,"Bañeza, La",24010
Asturias,33,46.8,39.5,7.3,10,Tineo,33073
Valencia/Valéncia,46,24.4,17,7.4,7,Buñol,46077
Huelva,21,29.8,22.4,7.4,10,Valverde del Camino,21072
"Coruña, A",15,31.1,23.7,7.4,7,"Pobra do Caramiñal, A",15067
Sevilla,41,31.9,24.5,7.4,5,Gerena,41045
Navarra,31,32.4,25,7.4,6,Ansoáin/Antsoain,31016
Bizkaia,48,32.8,25.4,7.4,7,Lekeitio,48057
León,24,33.4,26,7.4,4,"Pola de Gordón, La",24114
Almería,4,35.6,28.2,7.4,2,Zurgena,4103
Zaragoza,50,38.2,30.8,7.4,6,Cuarte de Huerva,50089
Barcelona,8,39.7,32.3,7.4,2,Santa Susanna,8261
Toledo,45,42.7,35.3,7.4,2,Cedillo del Condado,45047
Valencia/Valéncia,46,22.3,14.8,7.5,3,Corbera,46098
"Coruña, A",15,25.9,18.4,7.5,8,Santa Comba,15077
Badajoz,6,27.1,19.6,7.5,5,Guareña,6060
Pontevedra,36,30.1,22.6,7.5,9,Cambados,36006
Cantabria,39,30.3,22.8,7.5,5,Suances,39085
Ourense,32,30.6,23.1,7.5,2,Carballeda de Valdeorras,32017
Girona,17,34.4,26.9,7.5,3,Bescanó,17020
Palencia,34,34.7,27.2,7.5,6,Aguilar de Campoo,34004
Badajoz,6,35.7,28.2,7.5,11,Zafra,6158
Pontevedra,36,36.2,28.7,7.5,6,"Rosal, O",36048
Lleida,25,41.5,34,7.5,3,Almenar,25021
Barcelona,8,41.6,34.1,7.5,4,Sant Feliu de Codines,8210
Lleida,25,41.7,34.2,7.5,9,Balaguer,25040
"Balears, Illes",7,43.4,35.9,7.5,5,"Castell, Es",7064
Toledo,45,43.4,35.9,7.5,3,Yeles,45201
Barcelona,8,46.1,38.6,7.5,14,Pineda de Mar,8163
Toledo,45,22.5,14.9,7.6,4,Miguel Esteban,45101
Valencia/Valéncia,46,26.3,18.7,7.6,8,Canals,46081
Cádiz,11,31.2,23.6,7.6,6,Benalup-Casas Viejas,11901
Guadalajara,19,37.4,29.8,7.6,2,Torrejón del Rey,19280
Asturias,33,39.8,32.2,7.6,7,Navia,33041
Barcelona,8,40.4,32.8,7.6,7,"Garriga, La",8088
Pontevedra,36,42.4,34.8,7.6,10,Nigrán,36035
Sevilla,41,42.7,35.1,7.6,6,Gelves,41044
Barcelona,8,43.7,36.1,7.6,2,Vilanova del Vallès,8902
Málaga,29,23.4,15.7,7.7,2,Monda,29073
Murcia,30,25.2,17.5,7.7,12,Bullas,30012
"Palmas, Las",35,27,19.3,7.7,7,Vega de San Mateo,35033
Granada,18,28.2,20.5,7.7,4,Iznalloz,18105
Valencia/Valéncia,46,29.8,22.1,7.7,10,"Eliana, l'",46116
Asturias,33,35.4,27.7,7.7,5,Cangas de Onís,33012
Huelva,21,39.2,31.5,7.7,5,Trigueros,21070
Barcelona,8,44,36.3,7.7,7,Vilanova del Camí,8302
Barcelona,8,45.7,38,7.7,9,Sant Just Desvern,8221
Girona,17,48.7,41,7.7,4,Llagostera,17089
Ciudad Real,13,26.6,18.8,7.8,7,Almagro,13013
Pontevedra,36,26.6,18.8,7.8,3,Oia,36036
Badajoz,6,30.2,22.4,7.8,4,Fuente de Cantos,6052
"Palmas, Las",35,30.8,23,7.8,16,Gáldar,35009
Córdoba,14,31.5,23.7,7.8,7,Bujalance,14012
Madrid,28,32.5,24.7,7.8,3,Cercedilla,28038
Tarragona,43,33.8,26,7.8,3,"Selva del Camp, La",43145
Madrid,28,34.1,26.3,7.8,3,Torrelaguna,28151
Girona,17,34.7,26.9,7.8,3,Arbúcies,17009
Gipuzkoa,20,37.5,29.7,7.8,6,Zumaia,20081
Gipuzcoa,20,37.5,29.7,7.8,6,Zumaia,20081
Sevilla,41,46.3,38.5,7.8,7,Gines,41047
Girona,17,46.8,39,7.8,3,Hostalric,17083
Murcia,30,25.3,17.4,7.9,2,Villanueva del Río Segura,30042
Granada,18,27,19.1,7.9,2,Ugíjar,18182
Pontevedra,36,31.2,23.3,7.9,6,Valga,36056
Burgos,9,31.6,23.7,7.9,3,Valle de Mena,9410
Pontevedra,36,33.3,25.4,7.9,5,Vila de Cruces,36059
"Balears, Illes",7,36.1,28.2,7.9,5,Artà,7006
Jaén,23,36.5,28.6,7.9,3,Segura de la Sierra,23081
"Rioja, La",26,37.1,29.2,7.9,6,Alfaro,26011
Granada,18,37.8,29.9,7.9,4,Alfacar,18011
Bizkaia,48,37.9,30,7.9,4,Derio,48901
Navarra,31,39.8,31.9,7.9,5,Berriozar,31903
Lleida,25,40.9,33,7.9,5,Solsona,25207
Barcelona,8,44.9,37,7.9,4,Gironella,8092
Tarragona,43,49.1,41.2,7.9,5,Cunit,43051
"Coruña, A",15,22.4,14.4,8,4,Cerceda,15024
Badajoz,6,24.7,16.7,8,8,Olivenza,6095
Jaén,23,27.8,19.8,8,3,Sabiote,23075
Gipuzkoa,20,40.5,32.5,8,7,Oiartzun,20063
Gipuzcoa,20,40.5,32.5,8,7,Oiartzun,20063
Girona,17,40.6,32.6,8,3,Sant Joan les Fonts,17185
Barcelona,8,42.6,34.6,8,3,Sant Pol de Mar,8235
Barcelona,8,46.3,38.3,8,4,Polinyà,8167
Sevilla,41,26.2,18.1,8.1,5,"Coronil, El",41036
"Palmas, Las",35,27.6,19.5,8.1,6,Valsequillo de Gran Canaria,35031
Navarra,31,28.8,20.7,8.1,2,Valtierra,31249
Murcia,30,29,20.9,8.1,9,Ceutí,30018
Jaén,23,30.7,22.6,8.1,9,Villacarrillo,23095
Navarra,31,31.5,23.4,8.1,2,Orkoien,31906
Pontevedra,36,32.2,24.1,8.1,5,Soutomaior,36053
"Coruña, A",15,32.9,24.8,8.1,4,Touro,15085
Valencia/Valéncia,46,33,24.9,8.1,5,"Olleria, l'",46183
Girona,17,37.7,29.6,8.1,3,Llançà,17092
Santa Cruz de Tenerife,38,38.7,30.6,8.1,5,"Paso, El",38027
Girona,17,44.6,36.5,8.1,5,Cassà de la Selva,17044
Santa Cruz de Tenerife,38,44.6,36.5,8.1,2,Puntagorda,38029
Salamanca,37,47.8,39.7,8.1,2,Terradillos,37322
Valencia/Valéncia,46,24.9,16.7,8.2,5,Foios,46126
Toledo,45,33.1,24.9,8.2,5,"Puebla de Montalbán, La",45136
Santa Cruz de Tenerife,38,35.2,27,8.2,7,Tegueste,38046
Araba/Álava,1,35.5,27.3,8.2,3,Salvatierra/Agurain,1051
Ourense,32,36.8,28.6,8.2,4,Allariz,32001
Madrid,28,37.4,29.2,8.2,8,Guadarrama,28068
Granada,18,42.2,34,8.2,4,Alhendín,18014
Asturias,33,46.4,38.2,8.2,8,Grado,33026
Valencia/Valéncia,46,26.9,18.6,8.3,6,Alcàsser,46015
Navarra,31,29,20.7,8.3,2,Falces,31104
Tarragona,43,29.8,21.5,8.3,2,Gandesa,43064
